assembalge	easting	northing
assemblage-1-1	1	1
assemblage-2-1	2	1
assemblage-3-1	3	1
assemblage-4-1	4	1
assemblage-5-1	5	1
assemblage-6-1	6	1
assemblage-7-1	7	1
assemblage-8-1	8	1
assemblage-9-1	9	1
assemblage-10-1	10	1
assemblage-11-1	11	1
assemblage-12-1	12	1
assemblage-13-1	13	1
assemblage-14-1	14	1
assemblage-15-1	15	1
assemblage-16-1	16	1
assemblage-17-1	17	1
assemblage-18-1	18	1
assemblage-19-1	19	1
assemblage-20-1	20	1
assemblage-21-1	21	1
assemblage-22-1	22	1
assemblage-23-1	23	1
assemblage-24-1	24	1
assemblage-25-1	25	1
assemblage-26-1	26	1
assemblage-27-1	27	1
assemblage-28-1	28	1
assemblage-29-1	29	1
assemblage-30-1	30	1
assemblage-31-1	31	1
assemblage-32-1	32	1
assemblage-33-1	33	1
assemblage-34-1	34	1
assemblage-35-1	35	1
assemblage-36-1	36	1
assemblage-37-1	37	1
assemblage-38-1	38	1
assemblage-39-1	39	1
assemblage-40-1	40	1
assemblage-41-1	41	1
assemblage-42-1	42	1
assemblage-43-1	43	1
assemblage-44-1	44	1
assemblage-45-1	45	1
assemblage-46-1	46	1
assemblage-47-1	47	1
assemblage-48-1	48	1
assemblage-49-1	49	1
assemblage-1-2	1	2
assemblage-2-2	2	2
assemblage-3-2	3	2
assemblage-4-2	4	2
assemblage-5-2	5	2
assemblage-6-2	6	2
assemblage-7-2	7	2
assemblage-8-2	8	2
assemblage-9-2	9	2
assemblage-10-2	10	2
assemblage-11-2	11	2
assemblage-12-2	12	2
assemblage-13-2	13	2
assemblage-14-2	14	2
assemblage-15-2	15	2
assemblage-16-2	16	2
assemblage-17-2	17	2
assemblage-18-2	18	2
assemblage-19-2	19	2
assemblage-20-2	20	2
assemblage-21-2	21	2
assemblage-22-2	22	2
assemblage-23-2	23	2
assemblage-24-2	24	2
assemblage-25-2	25	2
assemblage-26-2	26	2
assemblage-27-2	27	2
assemblage-28-2	28	2
assemblage-29-2	29	2
assemblage-30-2	30	2
assemblage-31-2	31	2
assemblage-32-2	32	2
assemblage-33-2	33	2
assemblage-34-2	34	2
assemblage-35-2	35	2
assemblage-36-2	36	2
assemblage-37-2	37	2
assemblage-38-2	38	2
assemblage-39-2	39	2
assemblage-40-2	40	2
assemblage-41-2	41	2
assemblage-42-2	42	2
assemblage-43-2	43	2
assemblage-44-2	44	2
assemblage-45-2	45	2
assemblage-46-2	46	2
assemblage-47-2	47	2
assemblage-48-2	48	2
assemblage-49-2	49	2
assemblage-1-3	1	3
assemblage-2-3	2	3
assemblage-3-3	3	3
assemblage-4-3	4	3
assemblage-5-3	5	3
assemblage-6-3	6	3
assemblage-7-3	7	3
assemblage-8-3	8	3
assemblage-9-3	9	3
assemblage-10-3	10	3
assemblage-11-3	11	3
assemblage-12-3	12	3
assemblage-13-3	13	3
assemblage-14-3	14	3
assemblage-15-3	15	3
assemblage-16-3	16	3
assemblage-17-3	17	3
assemblage-18-3	18	3
assemblage-19-3	19	3
assemblage-20-3	20	3
assemblage-21-3	21	3
assemblage-22-3	22	3
assemblage-23-3	23	3
assemblage-24-3	24	3
assemblage-25-3	25	3
assemblage-26-3	26	3
assemblage-27-3	27	3
assemblage-28-3	28	3
assemblage-29-3	29	3
assemblage-30-3	30	3
assemblage-31-3	31	3
assemblage-32-3	32	3
assemblage-33-3	33	3
assemblage-34-3	34	3
assemblage-35-3	35	3
assemblage-36-3	36	3
