assemblage	easting	northing
assemblage-629-567	629	567
assemblage-617-571	617	571
assemblage-647-581	647	581
assemblage-635-562	635	562
assemblage-642-565	642	565
assemblage-620-579	620	579
assemblage-639-573	639	573
assemblage-638-585	638	585
assemblage-107-89	107	89
assemblage-96-100	96	100
assemblage-124-126	124	126
assemblage-110-107	110	107
assemblage-113-99	113	99
assemblage-118-106	118	106
assemblage-98-93	98	93
assemblage-101-100	101	100
assemblage-181-730	181	730
assemblage-197-734	197	734
assemblage-181-736	181	736
assemblage-176-717	176	717
assemblage-186-744	186	744
assemblage-182-735	182	735
assemblage-201-724	201	724
assemblage-186-740	186	740
assemblage-559-744	559	744
assemblage-568-741	568	741
assemblage-571-747	571	747
assemblage-561-760	561	760
assemblage-570-753	570	753
assemblage-551-760	551	760
assemblage-572-742	572	742
assemblage-584-751	584	751
assemblage-383-649	383	649
assemblage-398-656	398	656
assemblage-400-632	400	632
assemblage-409-641	409	641
assemblage-395-646	395	646
assemblage-397-645	397	645
assemblage-401-637	401	637
assemblage-370-640	370	640
assemblage-355-548	355	548
assemblage-364-549	364	549
assemblage-361-530	361	530
assemblage-340-535	340	535
assemblage-359-559	359	559
assemblage-358-539	358	539
assemblage-349-530	349	530
assemblage-361-534	361	534
assemblage-194-547	194	547
assemblage-204-543	204	543
assemblage-209-537	209	537
assemblage-191-541	191	541
assemblage-198-560	198	560
assemblage-201-563	201	563
assemblage-203-534	203	534
assemblage-212-549	212	549
assemblage-957-88	957	88
assemblage-945-106	945	106
assemblage-958-95	958	95
assemblage-946-107	946	107
assemblage-949-96	949	96
assemblage-943-100	943	100
assemblage-959-106	959	106
assemblage-954-100	954	100
assemblage-374-457	374	457
assemblage-335-460	335	460
assemblage-354-461	354	461
assemblage-360-456	360	456
assemblage-359-470	359	470
assemblage-359-459	359	459
assemblage-348-460	348	460
assemblage-346-467	346	467
assemblage-149-670	149	670
assemblage-122-674	122	674
assemblage-132-660	132	660
assemblage-132-672	132	672
assemblage-141-655	141	655
assemblage-134-644	134	644
assemblage-137-662	137	662
assemblage-133-677	133	677
assemblage-447-458	447	458
assemblage-447-448	447	448
assemblage-454-459	454	459
assemblage-438-465	438	465
assemblage-440-447	440	447
assemblage-438-455	438	455
assemblage-441-458	441	458
assemblage-440-468	440	468
assemblage-715-624	715	624
assemblage-713-605	713	605
assemblage-717-582	717	582
assemblage-704-589	704	589
assemblage-699-602	699	602
assemblage-696-589	696	589
assemblage-701-591	701	591
assemblage-717-605	717	605
assemblage-955-839	955	839
assemblage-960-831	960	831
assemblage-955-844	955	844
assemblage-975-849	975	849
assemblage-971-830	971	830
assemblage-965-839	965	839
assemblage-963-853	963	853
assemblage-949-847	949	847
assemblage-458-363	458	363
assemblage-454-387	454	387
assemblage-458-354	458	354
assemblage-479-354	479	354
assemblage-461-351	461	351
assemblage-482-340	482	340
assemblage-465-353	465	353
assemblage-470-366	470	366
assemblage-109-708	109	708
assemblage-126-731	126	731
assemblage-104-700	104	700
assemblage-81-711	81	711
assemblage-116-710	116	710
assemblage-110-705	110	705
assemblage-119-701	119	701
assemblage-98-716	98	716
assemblage-430-870	430	870
assemblage-445-890	445	890
assemblage-436-886	436	886
assemblage-437-891	437	891
assemblage-450-892	450	892
assemblage-453-876	453	876
assemblage-464-890	464	890
assemblage-434-883	434	883
assemblage-178-720	178	720
assemblage-172-731	172	731
assemblage-184-702	184	702
assemblage-161-722	161	722
assemblage-185-742	185	742
assemblage-160-717	160	717
assemblage-182-734	182	734
assemblage-187-732	187	732
assemblage-785-539	785	539
assemblage-810-549	810	549
assemblage-814-524	814	524
assemblage-804-547	804	547
assemblage-821-543	821	543
assemblage-805-544	805	544
assemblage-792-544	792	544
assemblage-809-547	809	547
assemblage-352-620	352	620
assemblage-344-625	344	625
assemblage-351-620	351	620
assemblage-354-624	354	624
assemblage-335-632	335	632
assemblage-341-620	341	620
assemblage-351-637	351	637
assemblage-347-619	347	619
assemblage-188-884	188	884
assemblage-197-892	197	892
assemblage-204-897	204	897
assemblage-207-893	207	893
assemblage-208-900	208	900
assemblage-189-892	189	892
assemblage-206-863	206	863
assemblage-202-884	202	884
assemblage-902-636	902	636
assemblage-889-634	889	634
assemblage-886-643	886	643
assemblage-897-633	897	633
assemblage-909-642	909	642
assemblage-912-636	912	636
assemblage-878-628	878	628
assemblage-891-622	891	622
assemblage-581-271	581	271
assemblage-568-284	568	284
assemblage-586-290	586	290
assemblage-591-305	591	305
assemblage-584-295	584	295
assemblage-581-304	581	304
assemblage-594-299	594	299
assemblage-592-299	592	299
assemblage-334-1002	334	1002
assemblage-343-996	343	996
assemblage-331-976	331	976
assemblage-341-991	341	991
assemblage-359-992	359	992
assemblage-329-994	329	994
assemblage-336-984	336	984
assemblage-301-991	301	991
assemblage-495-180	495	180
assemblage-497-171	497	171
assemblage-491-189	491	189
assemblage-499-178	499	178
assemblage-491-185	491	185
assemblage-500-191	500	191
assemblage-474-199	474	199
assemblage-494-173	494	173
