Seriation_Number	Assemblage	7337-1-1	5437979-0-0	863218-6774618-7774684	3-2049714-0	5437979-0-4934925	1513369-2-0	5437979-0-7899154	3-2-6412691	3-5937436-0	0-1-4	3-2-4072471	8032173-6774618-3965231	863218-6774618-2648646	2137808-2-0	9261477-2-0	5437979-0-6243214	2137808-8975926-0	3-2-23637	3-1127647-0	3-2-7385202	3-2-6427732	5437979-2655857-0	707716-2-23637	863218-6774618-7294087	863218-5578212-0	3-0-0	5437979-0-966640	3-2-3283380	3-644191-0	8032173-6774618-0	3-2-3981338	3-9753436-23637	863218-9032929-0	6193744-6774618-0	863218-6774618-0	863218-1944996-0	3-2-1752149	3-6774618-0	5657780-6774618-0	3-2-0	863218-6774618-6138381	1973093-0-6243214	6193744-6774618-6360729	863218-8281552-0	0-4730046-4	9152926-2-0
1	assemblage-726-448	0	58	0	0	0	0	0	0	0	7	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	380	0	0	0	0	0	20
1	assemblage-384-269	34	6	0	0	0	0	0	0	0	29	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	403	0	0	0	0	0	20
1	assemblage-575-975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	373	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	0	0	29	0	0	0	0	0	0	0	15

2	assemblage-943-508	0	61	0	0	0	0	67	0	0	224	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0	0	0	0	15
2	assemblage-384-269	34	6	0	0	0	0	0	0	0	29	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	403	0	0	0	0	0	20
2	assemblage-575-975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	373	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	0	0	29	0	0	0	0	0	0	0	15

3	assemblage-943-508	0	61	0	0	0	0	67	0	0	224	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0	0	0	0	15
3	assemblage-726-448	0	58	0	0	0	0	0	0	0	7	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	380	0	0	0	0	0	20
3	assemblage-575-975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	373	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	0	0	29	0	0	0	0	0	0	0	15

4	assemblage-943-508	0	61	0	0	0	0	67	0	0	224	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0	0	0	0	15
4	assemblage-726-448	0	58	0	0	0	0	0	0	0	7	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	380	0	0	0	0	0	20
