assemblage	easting	northing
assemblage-191-317	191	317
assemblage-181-300	181	300
assemblage-170-314	170	314
assemblage-160-301	160	301
assemblage-183-316	183	316
assemblage-167-315	167	315
assemblage-177-306	177	306
assemblage-178-326	178	326
assemblage-174-322	174	322
assemblage-161-315	161	315
assemblage-492-321	492	321
assemblage-480-314	480	314
assemblage-459-328	459	328
assemblage-471-328	471	328
assemblage-473-314	473	314
assemblage-476-312	476	312
assemblage-465-325	465	325
assemblage-474-320	474	320
assemblage-469-321	469	321
assemblage-470-325	470	325
assemblage-191-514	191	514
assemblage-212-533	212	533
assemblage-182-487	182	487
assemblage-189-497	189	497
assemblage-179-485	179	485
assemblage-215-491	215	491
assemblage-201-520	201	520
assemblage-220-492	220	492
assemblage-199-483	199	483
assemblage-203-508	203	508
assemblage-444-72	444	72
assemblage-444-43	444	43
assemblage-443-62	443	62
assemblage-442-79	442	79
assemblage-442-54	442	54
assemblage-446-68	446	68
assemblage-451-63	451	63
assemblage-441-59	441	59
assemblage-453-55	453	55
assemblage-456-81	456	81
assemblage-319-463	319	463
assemblage-317-463	317	463
assemblage-323-467	323	467
assemblage-320-453	320	453
assemblage-316-464	316	464
assemblage-322-464	322	464
assemblage-309-449	309	449
assemblage-309-459	309	459
assemblage-306-453	306	453
assemblage-319-455	319	455
assemblage-403-324	403	324
assemblage-402-330	402	330
assemblage-390-314	390	314
assemblage-414-309	414	309
assemblage-395-325	395	325
assemblage-395-327	395	327
assemblage-384-330	384	330
assemblage-401-333	401	333
assemblage-416-334	416	334
assemblage-406-340	406	340
assemblage-171-281	171	281
assemblage-175-320	175	320
assemblage-173-300	173	300
assemblage-179-292	179	292
assemblage-159-310	159	310
assemblage-184-302	184	302
assemblage-180-303	180	303
assemblage-170-290	170	290
assemblage-174-295	174	295
assemblage-171-316	171	316
assemblage-87-349	87	349
assemblage-84-346	84	346
assemblage-72-348	72	348
assemblage-99-351	99	351
assemblage-87-348	87	348
assemblage-81-349	81	349
assemblage-94-364	94	364
assemblage-82-369	82	369
assemblage-81-344	81	344
assemblage-97-354	97	354
assemblage-128-226	128	226
assemblage-155-224	155	224
assemblage-118-199	118	199
assemblage-131-201	131	201
assemblage-142-222	142	222
assemblage-133-216	133	216
assemblage-139-210	139	210
assemblage-136-206	136	206
assemblage-120-208	120	208
assemblage-156-196	156	196
assemblage-381-337	381	337
assemblage-380-339	380	339
assemblage-387-340	387	340
assemblage-378-321	378	321
assemblage-379-325	379	325
assemblage-383-317	383	317
assemblage-380-334	380	334
assemblage-367-323	367	323
assemblage-388-320	388	320
assemblage-398-337	398	337
assemblage-298-248	298	248
assemblage-327-267	327	267
assemblage-316-275	316	275
assemblage-316-243	316	243
assemblage-315-269	315	269
assemblage-310-255	310	255
assemblage-321-251	321	251
assemblage-323-244	323	244
assemblage-322-265	322	265
assemblage-330-260	330	260
assemblage-289-265	289	265
assemblage-279-259	279	259
assemblage-275-260	275	260
assemblage-258-259	258	259
assemblage-262-240	262	240
assemblage-282-244	282	244
assemblage-280-259	280	259
assemblage-288-249	288	249
assemblage-266-247	266	247
assemblage-269-250	269	250
assemblage-484-50	484	50
assemblage-473-58	473	58
assemblage-483-64	483	64
assemblage-480-71	480	71
assemblage-476-75	476	75
assemblage-467-75	467	75
assemblage-482-61	482	61
assemblage-494-49	494	49
assemblage-471-51	471	51
assemblage-467-63	467	63
assemblage-228-50	228	50
assemblage-227-45	227	45
assemblage-236-80	236	80
assemblage-233-63	233	63
assemblage-231-61	231	61
assemblage-231-63	231	63
assemblage-222-65	222	65
assemblage-204-65	204	65
assemblage-229-63	229	63
assemblage-247-70	247	70
assemblage-233-269	233	269
assemblage-219-255	219	255
assemblage-225-266	225	266
assemblage-230-250	230	250
assemblage-220-265	220	265
assemblage-217-262	217	262
assemblage-213-271	213	271
assemblage-226-268	226	268
assemblage-228-274	228	274
assemblage-221-264	221	264
