assemblage	easting	northing
assemblage-403-871	403	871
assemblage-380-885	380	885
assemblage-407-870	407	870
assemblage-388-886	388	886
assemblage-393-858	393	858
assemblage-380-873	380	873
assemblage-409-860	409	860
assemblage-378-875	378	875
assemblage-393-879	393	879
assemblage-378-881	378	881
assemblage-316-844	316	844
assemblage-306-834	306	834
assemblage-309-834	309	834
assemblage-330-841	330	841
assemblage-328-833	328	833
assemblage-315-835	315	835
assemblage-316-815	316	815
assemblage-318-846	318	846
assemblage-278-844	278	844
assemblage-330-833	330	833
assemblage-583-198	583	198
assemblage-560-174	560	174
assemblage-572-201	572	201
assemblage-559-199	559	199
assemblage-560-203	560	203
assemblage-563-186	563	186
assemblage-585-212	585	212
assemblage-567-203	567	203
assemblage-574-203	574	203
assemblage-554-200	554	200
assemblage-647-650	647	650
assemblage-648-626	648	626
assemblage-637-651	637	651
assemblage-639-619	639	619
assemblage-636-636	636	636
assemblage-661-653	661	653
assemblage-641-648	641	648
assemblage-647-642	647	642
assemblage-652-638	652	638
assemblage-636-647	636	647
assemblage-887-217	887	217
assemblage-890-241	890	241
assemblage-887-249	887	249
assemblage-885-239	885	239
assemblage-887-245	887	245
assemblage-902-239	902	239
assemblage-874-244	874	244
assemblage-887-244	887	244
assemblage-882-227	882	227
assemblage-875-237	875	237
assemblage-446-527	446	527
assemblage-442-528	442	528
assemblage-465-517	465	517
assemblage-454-511	454	511
assemblage-460-510	460	510
assemblage-475-521	475	521
assemblage-446-522	446	522
assemblage-443-504	443	504
assemblage-446-532	446	532
assemblage-448-522	448	522
assemblage-564-979	564	979
assemblage-566-967	566	967
assemblage-583-973	583	973
assemblage-562-973	562	973
assemblage-561-976	561	976
assemblage-570-959	570	959
assemblage-559-962	559	962
assemblage-562-965	562	965
assemblage-564-970	564	970
assemblage-577-955	577	955
assemblage-331-534	331	534
assemblage-347-517	347	517
assemblage-328-519	328	519
assemblage-329-519	329	519
assemblage-322-525	322	525
assemblage-341-521	341	521
assemblage-342-533	342	533
assemblage-320-522	320	522
assemblage-325-521	325	521
assemblage-328-523	328	523
assemblage-622-408	622	408
assemblage-625-387	625	387
assemblage-627-418	627	418
assemblage-618-410	618	410
assemblage-599-394	599	394
assemblage-608-398	608	398
assemblage-625-397	625	397
assemblage-598-393	598	393
assemblage-612-409	612	409
assemblage-613-406	613	406
assemblage-823-948	823	948
assemblage-847-950	847	950
assemblage-816-953	816	953
assemblage-814-978	814	978
assemblage-828-944	828	944
assemblage-826-937	826	937
assemblage-824-967	824	967
assemblage-794-958	794	958
assemblage-824-969	824	969
assemblage-844-948	844	948
assemblage-429-541	429	541
assemblage-404-541	404	541
assemblage-415-539	415	539
assemblage-404-538	404	538
assemblage-410-550	410	550
assemblage-406-541	406	541
assemblage-407-544	407	544
assemblage-409-557	409	557
assemblage-422-543	422	543
assemblage-402-557	402	557
assemblage-219-905	219	905
assemblage-227-897	227	897
assemblage-221-873	221	873
assemblage-233-899	233	899
assemblage-232-911	232	911
assemblage-207-883	207	883
assemblage-214-898	214	898
assemblage-242-906	242	906
assemblage-234-894	234	894
assemblage-219-896	219	896
assemblage-302-636	302	636
assemblage-290-648	290	648
assemblage-286-626	286	626
assemblage-291-630	291	630
assemblage-302-608	302	608
assemblage-294-632	294	632
assemblage-301-623	301	623
assemblage-302-630	302	630
assemblage-287-608	287	608
assemblage-301-629	301	629
assemblage-869-356	869	356
assemblage-870-370	870	370
assemblage-857-369	857	369
assemblage-884-367	884	367
assemblage-865-364	865	364
assemblage-860-366	860	366
assemblage-861-342	861	342
assemblage-861-363	861	363
assemblage-880-355	880	355
assemblage-867-386	867	386
assemblage-814-667	814	667
assemblage-820-672	820	672
assemblage-833-659	833	659
assemblage-803-680	803	680
assemblage-816-657	816	657
assemblage-805-665	805	665
assemblage-812-667	812	667
assemblage-821-660	821	660
assemblage-809-665	809	665
assemblage-811-660	811	660
assemblage-829-605	829	605
assemblage-831-602	831	602
assemblage-825-594	825	594
assemblage-836-587	836	587
assemblage-824-587	824	587
assemblage-841-591	841	591
assemblage-838-600	838	600
assemblage-832-608	832	608
assemblage-838-603	838	603
assemblage-822-600	822	600
assemblage-721-259	721	259
assemblage-718-251	718	251
assemblage-721-243	721	243
assemblage-721-269	721	269
assemblage-717-249	717	249
assemblage-714-270	714	270
assemblage-717-257	717	257
assemblage-725-249	725	249
assemblage-725-267	725	267
assemblage-712-246	712	246
assemblage-672-417	672	417
assemblage-647-390	647	390
assemblage-663-391	663	391
assemblage-663-383	663	383
assemblage-654-406	654	406
assemblage-668-376	668	376
assemblage-659-393	659	393
assemblage-664-404	664	404
assemblage-649-398	649	398
assemblage-663-387	663	387
assemblage-750-574	750	574
assemblage-742-572	742	572
assemblage-731-580	731	580
assemblage-745-580	745	580
assemblage-745-569	745	569
assemblage-741-603	741	603
assemblage-731-597	731	597
assemblage-730-567	730	567
assemblage-745-595	745	595
assemblage-750-587	750	587
assemblage-879-628	879	628
assemblage-905-637	905	637
assemblage-892-645	892	645
assemblage-886-639	886	639
assemblage-914-640	914	640
assemblage-910-643	910	643
assemblage-899-644	899	644
assemblage-902-625	902	625
assemblage-900-622	900	622
assemblage-894-621	894	621
