Seriation_Number	Assemblage	4133708-2-3	4-0-8717902	4-2-2322417	4-2-5960891	4-9170258-3	6792767-2-3	4-2750818-3	4-2-140273	4-2158773-3	1227092-2-3	5374761-2-3	4-3473716-3	7232642-4-1	3-1-2692061	4-7897733-3	4-8642532-3	5183844-2-3	4-2-3680066	4489603-2-3	4-2-567046	7238335-2-3	4-2241882-3	4-2-5719633	8514673-2-3	4-2-4031791	3-1-4	2-4-1	4-2-874899	5374761-6025398-3	4-2-3	1208689-2-3	4-2-1634010	293780-2-3	228029-2-3	4-2-6846063	4-2-6686834	4-7056639-3	4-2581135-3	4-2-8160325	850730-2-3	6896202-0-0	4-2-9543410	4-0-0
9	assemblage-53-34	0	0	0	0	316	0	1	0	0	0	0	0	0	0	63	0	0	0	337	0	0	0	0	0	0	0	0	0	0	163155	0	3	0	0	0	0	0	0	0	1	0	2	0
9	assemblage-40-68	0	0	0	0	210	0	0	0	1	0	0	0	0	0	60	0	0	0	226	0	0	0	0	1	0	0	0	0	0	163374	0	0	0	1	1	0	0	0	0	0	0	4	0

10	assemblage-14-31	0	0	0	0	0	0	0	0	0	3	17243	1	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	147835	0	0	0	0	0	0	0	0	0	0	0	0	0
10	assemblage-53-34	0	0	0	0	316	0	1	0	0	0	0	0	0	0	63	0	0	0	337	0	0	0	0	0	0	0	0	0	0	163155	0	3	0	0	0	0	0	0	0	1	0	2	0
10	assemblage-41-8	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	12	578	0	0	3959	0	0	0	0	0	0	0	0	0	0	0	0	24

11	assemblage-26-45	0	0	0	0	0	0	0	0	0	0	17847	0	0	0	0	0	0	0	0	36	0	0	1	0	0	0	0	0	0	147219	0	0	0	0	0	0	0	0	0	0	0	0	0
11	assemblage-40-68	0	0	0	0	210	0	0	0	1	0	0	0	0	0	60	0	0	0	226	0	0	0	0	1	0	0	0	0	0	163374	0	0	0	1	1	0	0	0	0	0	0	4	0
11	assemblage-15-46	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	2184	8	0	0	1651	0	0	0	0	0	0	0	0	0	0	0	0	669

12	assemblage-26-45	0	0	0	0	0	0	0	0	0	0	17847	0	0	0	0	0	0	0	0	36	0	0	1	0	0	0	0	0	0	147219	0	0	0	0	0	0	0	0	0	0	0	0	0
12	assemblage-40-68	0	0	0	0	210	0	0	0	1	0	0	0	0	0	60	0	0	0	226	0	0	0	0	1	0	0	0	0	0	163374	0	0	0	1	1	0	0	0	0	0	0	4	0
12	assemblage-27-49	0	0	0	0	0	0	0	0	0	0	0	0	0	196	0	0	0	0	0	0	0	0	0	0	0	3358	0	0	0	387	0	0	0	0	0	0	0	0	0	0	15	0	618

13	assemblage-26-45	0	0	0	0	0	0	0	0	0	0	17847	0	0	0	0	0	0	0	0	36	0	0	1	0	0	0	0	0	0	147219	0	0	0	0	0	0	0	0	0	0	0	0	0
13	assemblage-53-34	0	0	0	0	316	0	1	0	0	0	0	0	0	0	63	0	0	0	337	0	0	0	0	0	0	0	0	0	0	163155	0	3	0	0	0	0	0	0	0	1	0	2	0
13	assemblage-15-46	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	2184	8	0	0	1651	0	0	0	0	0	0	0	0	0	0	0	0	669

14	assemblage-26-45	0	0	0	0	0	0	0	0	0	0	17847	0	0	0	0	0	0	0	0	36	0	0	1	0	0	0	0	0	0	147219	0	0	0	0	0	0	0	0	0	0	0	0	0
14	assemblage-53-34	0	0	0	0	316	0	1	0	0	0	0	0	0	0	63	0	0	0	337	0	0	0	0	0	0	0	0	0	0	163155	0	3	0	0	0	0	0	0	0	1	0	2	0
14	assemblage-27-49	0	0	0	0	0	0	0	0	0	0	0	0	0	196	0	0	0	0	0	0	0	0	0	0	0	3358	0	0	0	387	0	0	0	0	0	0	0	0	0	0	15	0	618

15	assemblage-26-45	0	0	0	0	0	0	0	0	0	0	17847	0	0	0	0	0	0	0	0	36	0	0	1	0	0	0	0	0	0	147219	0	0	0	0	0	0	0	0	0	0	0	0	0
15	assemblage-53-34	0	0	0	0	316	0	1	0	0	0	0	0	0	0	63	0	0	0	337	0	0	0	0	0	0	0	0	0	0	163155	0	3	0	0	0	0	0	0	0	1	0	2	0
15	assemblage-40-68	0	0	0	0	210	0	0	0	1	0	0	0	0	0	60	0	0	0	226	0	0	0	0	1	0	0	0	0	0	163374	0	0	0	1	1	0	0	0	0	0	0	4	0

16	assemblage-26-45	0	0	0	0	0	0	0	0	0	0	17847	0	0	0	0	0	0	0	0	36	0	0	1	0	0	0	0	0	0	147219	0	0	0	0	0	0	0	0	0	0	0	0	0
16	assemblage-53-34	0	0	0	0	316	0	1	0	0	0	0	0	0	0	63	0	0	0	337	0	0	0	0	0	0	0	0	0	0	163155	0	3	0	0	0	0	0	0	0	1	0	2	0
16	assemblage-41-8	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	12	578	0	0	3959	0	0	0	0	0	0	0	0	0	0	0	0	24

17	assemblage-26-45	0	0	0	0	0	0	0	0	0	0	17847	0	0	0	0	0	0	0	0	36	0	0	1	0	0	0	0	0	0	147219	0	0	0	0	0	0	0	0	0	0	0	0	0
17	assemblage-14-31	0	0	0	0	0	0	0	0	0	3	17243	1	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	147835	0	0	0	0	0	0	0	0	0	0	0	0	0
17	assemblage-15-46	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	2184	8	0	0	1651	0	0	0	0	0	0	0	0	0	0	0	0	669

18	assemblage-26-45	0	0	0	0	0	0	0	0	0	0	17847	0	0	0	0	0	0	0	0	36	0	0	1	0	0	0	0	0	0	147219	0	0	0	0	0	0	0	0	0	0	0	0	0
18	assemblage-14-31	0	0	0	0	0	0	0	0	0	3	17243	1	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	147835	0	0	0	0	0	0	0	0	0	0	0	0	0
18	assemblage-27-49	0	0	0	0	0	0	0	0	0	0	0	0	0	196	0	0	0	0	0	0	0	0	0	0	0	3358	0	0	0	387	0	0	0	0	0	0	0	0	0	0	15	0	618

19	assemblage-26-45	0	0	0	0	0	0	0	0	0	0	17847	0	0	0	0	0	0	0	0	36	0	0	1	0	0	0	0	0	0	147219	0	0	0	0	0	0	0	0	0	0	0	0	0
19	assemblage-14-31	0	0	0	0	0	0	0	0	0	3	17243	1	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	147835	0	0	0	0	0	0	0	0	0	0	0	0	0
19	assemblage-40-68	0	0	0	0	210	0	0	0	1	0	0	0	0	0	60	0	0	0	226	0	0	0	0	1	0	0	0	0	0	163374	0	0	0	1	1	0	0	0	0	0	0	4	0

20	assemblage-26-45	0	0	0	0	0	0	0	0	0	0	17847	0	0	0	0	0	0	0	0	36	0	0	1	0	0	0	0	0	0	147219	0	0	0	0	0	0	0	0	0	0	0	0	0
20	assemblage-14-31	0	0	0	0	0	0	0	0	0	3	17243	1	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	147835	0	0	0	0	0	0	0	0	0	0	0	0	0
20	assemblage-41-8	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	12	578	0	0	3959	0	0	0	0	0	0	0	0	0	0	0	0	24

21	assemblage-26-45	0	0	0	0	0	0	0	0	0	0	17847	0	0	0	0	0	0	0	0	36	0	0	1	0	0	0	0	0	0	147219	0	0	0	0	0	0	0	0	0	0	0	0	0
21	assemblage-14-31	0	0	0	0	0	0	0	0	0	3	17243	1	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	147835	0	0	0	0	0	0	0	0	0	0	0	0	0
21	assemblage-53-34	0	0	0	0	316	0	1	0	0	0	0	0	0	0	63	0	0	0	337	0	0	0	0	0	0	0	0	0	0	163155	0	3	0	0	0	0	0	0	0	1	0	2	0

22	assemblage-26-45	0	0	0	0	0	0	0	0	0	0	17847	0	0	0	0	0	0	0	0	36	0	0	1	0	0	0	0	0	0	147219	0	0	0	0	0	0	0	0	0	0	0	0	0
22	assemblage-14-31	0	0	0	0	0	0	0	0	0	3	17243	1	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	147835	0	0	0	0	0	0	0	0	0	0	0	0	0
22	assemblage-73-8	0	0	0	0	0	0	0	0	0	0	0	0	0	214	0	0	0	0	0	0	0	0	0	0	0	3363	0	0	0	401	0	0	0	0	0	0	0	0	0	0	3	0	593

23	assemblage-17-4	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	14	574	0	0	3945	0	0	0	0	0	0	0	0	0	0	0	0	38
23	assemblage-41-8	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	12	578	0	0	3959	0	0	0	0	0	0	0	0	0	0	0	0	24
23	assemblage-40-68	0	0	0	0	210	0	0	0	1	0	0	0	0	0	60	0	0	0	226	0	0	0	0	1	0	0	0	0	0	163374	0	0	0	1	1	0	0	0	0	0	0	4	0

24	assemblage-17-4	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	14	574	0	0	3945	0	0	0	0	0	0	0	0	0	0	0	0	38
24	assemblage-53-34	0	0	0	0	316	0	1	0	0	0	0	0	0	0	63	0	0	0	337	0	0	0	0	0	0	0	0	0	0	163155	0	3	0	0	0	0	0	0	0	1	0	2	0
24	assemblage-40-68	0	0	0	0	210	0	0	0	1	0	0	0	0	0	60	0	0	0	226	0	0	0	0	1	0	0	0	0	0	163374	0	0	0	1	1	0	0	0	0	0	0	4	0

25	assemblage-17-4	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	14	574	0	0	3945	0	0	0	0	0	0	0	0	0	0	0	0	38
25	assemblage-14-31	0	0	0	0	0	0	0	0	0	3	17243	1	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	147835	0	0	0	0	0	0	0	0	0	0	0	0	0
25	assemblage-40-68	0	0	0	0	210	0	0	0	1	0	0	0	0	0	60	0	0	0	226	0	0	0	0	1	0	0	0	0	0	163374	0	0	0	1	1	0	0	0	0	0	0	4	0

26	assemblage-17-4	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	14	574	0	0	3945	0	0	0	0	0	0	0	0	0	0	0	0	38
26	assemblage-14-31	0	0	0	0	0	0	0	0	0	3	17243	1	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	147835	0	0	0	0	0	0	0	0	0	0	0	0	0
26	assemblage-53-34	0	0	0	0	316	0	1	0	0	0	0	0	0	0	63	0	0	0	337	0	0	0	0	0	0	0	0	0	0	163155	0	3	0	0	0	0	0	0	0	1	0	2	0

27	assemblage-17-4	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	14	574	0	0	3945	0	0	0	0	0	0	0	0	0	0	0	0	38
27	assemblage-26-45	0	0	0	0	0	0	0	0	0	0	17847	0	0	0	0	0	0	0	0	36	0	0	1	0	0	0	0	0	0	147219	0	0	0	0	0	0	0	0	0	0	0	0	0
27	assemblage-40-68	0	0	0	0	210	0	0	0	1	0	0	0	0	0	60	0	0	0	226	0	0	0	0	1	0	0	0	0	0	163374	0	0	0	1	1	0	0	0	0	0	0	4	0

28	assemblage-17-4	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	14	574	0	0	3945	0	0	0	0	0	0	0	0	0	0	0	0	38
28	assemblage-26-45	0	0	0	0	0	0	0	0	0	0	17847	0	0	0	0	0	0	0	0	36	0	0	1	0	0	0	0	0	0	147219	0	0	0	0	0	0	0	0	0	0	0	0	0
28	assemblage-53-34	0	0	0	0	316	0	1	0	0	0	0	0	0	0	63	0	0	0	337	0	0	0	0	0	0	0	0	0	0	163155	0	3	0	0	0	0	0	0	0	1	0	2	0

29	assemblage-17-4	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	14	574	0	0	3945	0	0	0	0	0	0	0	0	0	0	0	0	38
29	assemblage-26-45	0	0	0	0	0	0	0	0	0	0	17847	0	0	0	0	0	0	0	0	36	0	0	1	0	0	0	0	0	0	147219	0	0	0	0	0	0	0	0	0	0	0	0	0
29	assemblage-14-31	0	0	0	0	0	0	0	0	0	3	17243	1	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	147835	0	0	0	0	0	0	0	0	0	0	0	0	0

