assemblage	easting	northing
assemblage-1-1	1	1
assemblage-2-1	2	1
assemblage-3-1	3	1
assemblage-4-1	4	1
assemblage-5-1	5	1
assemblage-6-1	6	1
assemblage-7-1	7	1
assemblage-8-1	8	1
assemblage-9-1	9	1
assemblage-10-1	10	1
assemblage-11-1	11	1
assemblage-12-1	12	1
assemblage-13-1	13	1
assemblage-14-1	14	1
assemblage-15-1	15	1
assemblage-16-1	16	1
assemblage-17-1	17	1
assemblage-18-1	18	1
assemblage-19-1	19	1
assemblage-20-1	20	1
assemblage-21-1	21	1
assemblage-22-1	22	1
assemblage-23-1	23	1
assemblage-24-1	24	1
assemblage-1-2	1	2
assemblage-2-2	2	2
assemblage-3-2	3	2
assemblage-4-2	4	2
assemblage-5-2	5	2
assemblage-6-2	6	2
assemblage-7-2	7	2
assemblage-8-2	8	2
assemblage-9-2	9	2
assemblage-10-2	10	2
assemblage-11-2	11	2
assemblage-12-2	12	2
assemblage-13-2	13	2
assemblage-14-2	14	2
assemblage-15-2	15	2
assemblage-16-2	16	2
assemblage-17-2	17	2
assemblage-18-2	18	2
assemblage-19-2	19	2
assemblage-20-2	20	2
assemblage-21-2	21	2
assemblage-22-2	22	2
assemblage-23-2	23	2
assemblage-24-2	24	2
assemblage-1-3	1	3
assemblage-2-3	2	3
assemblage-3-3	3	3
assemblage-4-3	4	3
assemblage-5-3	5	3
assemblage-6-3	6	3
assemblage-7-3	7	3
assemblage-8-3	8	3
assemblage-9-3	9	3
assemblage-10-3	10	3
assemblage-11-3	11	3
assemblage-12-3	12	3
assemblage-13-3	13	3
assemblage-14-3	14	3
assemblage-15-3	15	3
assemblage-16-3	16	3
assemblage-17-3	17	3
assemblage-18-3	18	3
assemblage-19-3	19	3
assemblage-20-3	20	3
assemblage-21-3	21	3
assemblage-22-3	22	3
assemblage-23-3	23	3
assemblage-24-3	24	3
assemblage-1-4	1	4
assemblage-2-4	2	4
assemblage-3-4	3	4
assemblage-4-4	4	4
assemblage-5-4	5	4
assemblage-6-4	6	4
assemblage-7-4	7	4
assemblage-8-4	8	4
assemblage-9-4	9	4
assemblage-10-4	10	4
assemblage-11-4	11	4
assemblage-12-4	12	4
assemblage-13-4	13	4
assemblage-14-4	14	4
assemblage-15-4	15	4
assemblage-16-4	16	4
assemblage-17-4	17	4
assemblage-18-4	18	4
assemblage-19-4	19	4
assemblage-20-4	20	4
assemblage-21-4	21	4
assemblage-22-4	22	4
assemblage-23-4	23	4
assemblage-24-4	24	4
assemblage-1-5	1	5
assemblage-2-5	2	5
assemblage-3-5	3	5
assemblage-4-5	4	5
assemblage-5-5	5	5
assemblage-6-5	6	5
assemblage-7-5	7	5
assemblage-8-5	8	5
assemblage-9-5	9	5
assemblage-10-5	10	5
assemblage-11-5	11	5
assemblage-12-5	12	5
assemblage-13-5	13	5
assemblage-14-5	14	5
assemblage-15-5	15	5
assemblage-16-5	16	5
assemblage-17-5	17	5
assemblage-18-5	18	5
assemblage-19-5	19	5
assemblage-20-5	20	5
assemblage-21-5	21	5
assemblage-22-5	22	5
assemblage-23-5	23	5
assemblage-24-5	24	5
assemblage-1-6	1	6
assemblage-2-6	2	6
assemblage-3-6	3	6
assemblage-4-6	4	6
assemblage-5-6	5	6
assemblage-6-6	6	6
assemblage-7-6	7	6
assemblage-8-6	8	6
assemblage-9-6	9	6
assemblage-10-6	10	6
assemblage-11-6	11	6
assemblage-12-6	12	6
assemblage-13-6	13	6
assemblage-14-6	14	6
