assemblage	easting	northing
assemblage-935-492	935	492
assemblage-926-512	926	512
assemblage-915-489	915	489
assemblage-926-497	926	497
assemblage-932-501	932	501
assemblage-923-515	923	515
assemblage-903-481	903	481
assemblage-913-517	913	517
assemblage-937-496	937	496
assemblage-927-504	927	504
assemblage-317-353	317	353
assemblage-322-364	322	364
assemblage-323-357	323	357
assemblage-329-357	329	357
assemblage-317-357	317	357
assemblage-333-357	333	357
assemblage-330-355	330	355
assemblage-307-366	307	366
assemblage-324-361	324	361
assemblage-333-358	333	358
assemblage-939-374	939	374
assemblage-949-404	949	404
assemblage-952-380	952	380
assemblage-960-394	960	394
assemblage-934-404	934	404
assemblage-934-359	934	359
assemblage-932-390	932	390
assemblage-951-383	951	383
assemblage-933-369	933	369
assemblage-945-371	945	371
assemblage-627-508	627	508
assemblage-634-493	634	493
assemblage-626-491	626	491
assemblage-625-517	625	517
assemblage-635-495	635	495
assemblage-646-504	646	504
assemblage-630-492	630	492
assemblage-644-514	644	514
assemblage-636-505	636	505
assemblage-632-507	632	507
assemblage-569-574	569	574
assemblage-569-576	569	576
assemblage-580-577	580	577
assemblage-569-581	569	581
assemblage-595-581	595	581
assemblage-581-593	581	593
assemblage-582-575	582	575
assemblage-574-575	574	575
assemblage-578-591	578	591
assemblage-611-580	611	580
assemblage-210-728	210	728
assemblage-204-754	204	754
assemblage-219-740	219	740
assemblage-203-739	203	739
assemblage-219-746	219	746
assemblage-206-750	206	750
assemblage-209-751	209	751
assemblage-202-750	202	750
assemblage-212-744	212	744
assemblage-222-743	222	743
assemblage-872-629	872	629
assemblage-876-623	876	623
assemblage-874-622	874	622
assemblage-873-633	873	633
assemblage-881-617	881	617
assemblage-870-614	870	614
assemblage-893-629	893	629
assemblage-876-643	876	643
assemblage-865-606	865	606
assemblage-887-626	887	626
assemblage-349-714	349	714
assemblage-386-708	386	708
assemblage-383-725	383	725
assemblage-376-712	376	712
assemblage-397-704	397	704
assemblage-366-711	366	711
assemblage-379-709	379	709
assemblage-375-712	375	712
assemblage-366-699	366	699
assemblage-378-694	378	694
assemblage-536-227	536	227
assemblage-522-247	522	247
assemblage-538-234	538	234
assemblage-537-233	537	233
assemblage-522-224	522	224
assemblage-521-237	521	237
assemblage-528-223	528	223
assemblage-541-228	541	228
assemblage-530-223	530	223
assemblage-547-233	547	233
assemblage-849-709	849	709
assemblage-836-696	836	696
assemblage-834-698	834	698
assemblage-837-714	837	714
assemblage-841-705	841	705
assemblage-844-706	844	706
assemblage-829-696	829	696
assemblage-832-686	832	686
assemblage-815-708	815	708
assemblage-826-710	826	710
assemblage-560-595	560	595
assemblage-581-586	581	586
assemblage-572-603	572	603
assemblage-560-605	560	605
assemblage-556-617	556	617
assemblage-569-601	569	601
assemblage-589-616	589	616
assemblage-579-619	579	619
assemblage-564-614	564	614
assemblage-590-608	590	608
assemblage-755-530	755	530
assemblage-781-531	781	531
assemblage-783-522	783	522
assemblage-776-523	776	523
assemblage-791-536	791	536
assemblage-774-526	774	526
assemblage-782-520	782	520
assemblage-773-524	773	524
assemblage-777-529	777	529
assemblage-775-537	775	537
assemblage-421-183	421	183
assemblage-430-179	430	179
assemblage-427-172	427	172
assemblage-435-188	435	188
assemblage-423-164	423	164
assemblage-420-173	420	173
assemblage-435-184	435	184
assemblage-432-175	432	175
assemblage-424-185	424	185
assemblage-416-169	416	169
assemblage-664-560	664	560
assemblage-636-560	636	560
assemblage-651-550	651	550
assemblage-648-550	648	550
assemblage-641-557	641	557
assemblage-630-536	630	536
assemblage-651-535	651	535
assemblage-644-560	644	560
assemblage-650-560	650	560
assemblage-665-541	665	541
assemblage-379-385	379	385
assemblage-371-385	371	385
assemblage-372-417	372	417
assemblage-380-386	380	386
assemblage-361-393	361	393
assemblage-373-396	373	396
assemblage-354-390	354	390
assemblage-361-398	361	398
assemblage-362-388	362	388
assemblage-375-371	375	371
assemblage-777-624	777	624
assemblage-773-615	773	615
assemblage-773-602	773	602
assemblage-793-604	793	604
assemblage-815-608	815	608
assemblage-807-620	807	620
assemblage-772-599	772	599
assemblage-799-623	799	623
assemblage-762-602	762	602
assemblage-778-610	778	610
assemblage-343-209	343	209
assemblage-332-193	332	193
assemblage-360-220	360	220
assemblage-367-201	367	201
assemblage-345-206	345	206
assemblage-340-211	340	211
assemblage-347-198	347	198
assemblage-339-214	339	214
assemblage-333-221	333	221
assemblage-344-215	344	215
assemblage-218-320	218	320
assemblage-202-309	202	309
assemblage-197-284	197	284
assemblage-208-297	208	297
assemblage-208-316	208	316
assemblage-203-325	203	325
assemblage-222-312	222	312
assemblage-209-308	209	308
assemblage-215-304	215	304
assemblage-206-308	206	308
assemblage-474-863	474	863
assemblage-483-836	483	836
assemblage-483-871	483	871
assemblage-512-828	512	828
assemblage-485-850	485	850
assemblage-488-847	488	847
assemblage-492-860	492	860
assemblage-487-855	487	855
assemblage-508-848	508	848
assemblage-503-854	503	854
assemblage-155-586	155	586
assemblage-138-580	138	580
assemblage-145-562	145	562
assemblage-137-571	137	571
assemblage-155-556	155	556
assemblage-144-559	144	559
assemblage-137-567	137	567
assemblage-144-565	144	565
assemblage-156-574	156	574
assemblage-152-577	152	577
