Assemblage_Name	1-3-1	4-3-6653023	4-3-7543216	3799213-3-0	4-3-432281	4-3-0	323268-3-0	4-8190678-0
assemblage-15-2	10	0	0	0	0	189	1	0
assemblage-11-3	0	0	0	0	0	200	0	0
assemblage-11-2	0	0	0	0	0	200	0	0
assemblage-12-4	0	0	0	0	0	200	0	0
assemblage-28-1	34	0	0	0	0	166	0	0
assemblage-12-1	0	0	0	0	0	200	0	0
assemblage-12-2	21	0	0	0	0	179	0	0
assemblage-2-3	0	0	0	0	0	200	0	0
assemblage-1-4	23	0	0	0	0	177	0	0
assemblage-3-2	102	0	0	0	0	98	0	0
assemblage-21-4	0	0	0	0	0	200	0	0
assemblage-21-3	0	0	0	1	1	198	0	0
assemblage-28-3	0	0	0	0	0	199	0	1
assemblage-25-4	66	0	0	0	0	134	0	0
assemblage-6-2	0	0	0	0	0	200	0	0
assemblage-7-3	0	0	0	0	0	200	0	0
assemblage-20-3	0	1	0	0	0	199	0	0
assemblage-20-1	105	0	0	0	0	95	0	0
assemblage-18-4	0	0	0	0	0	200	0	0
assemblage-16-2	0	0	1	0	0	199	0	0
assemblage-19-1	43	0	0	0	0	157	0	0
assemblage-4-4	103	0	0	0	0	97	0	0
