Assemblage_Name	0-3-5303801	822665-3-2	0-3-5238572	0-9491941-2	0-3-4516764	5686309-3-2	7600047-3-2	0-2499815-2	0-3-2	2953700-3-2	524898-3-2	0-2161537-2
assemblage-15-2	0	0	0	0	0	0	0	0	200	0	0	0
assemblage-11-3	0	0	0	1	0	1	0	0	198	0	0	0
assemblage-11-2	0	0	0	2	1	0	0	0	197	0	0	0
assemblage-12-4	0	0	0	0	0	0	0	0	200	0	0	0
assemblage-28-1	0	0	0	0	0	0	0	0	200	0	0	0
assemblage-12-1	0	6	0	0	0	0	0	1	193	0	0	0
assemblage-12-2	0	0	0	0	0	0	0	0	200	0	0	0
assemblage-2-3	0	0	0	0	0	0	0	0	200	0	0	0
assemblage-1-4	0	0	0	1	1	0	0	0	198	0	0	0
assemblage-3-2	0	0	3	0	0	0	0	0	197	0	0	0
assemblage-21-4	0	5	0	0	0	0	0	0	195	0	0	0
assemblage-21-3	0	0	0	0	0	0	0	0	200	0	0	0
assemblage-28-3	0	2	0	0	0	0	0	0	198	0	0	0
assemblage-25-4	0	0	0	0	0	0	0	0	200	0	0	0
assemblage-6-2	0	4	0	0	0	0	0	0	196	0	0	0
assemblage-7-3	0	0	0	0	0	0	0	0	200	0	0	0
assemblage-20-3	0	8	0	0	0	0	0	0	192	0	0	0
assemblage-20-1	0	0	5	0	0	0	0	0	195	0	0	0
assemblage-18-4	0	1	0	0	0	0	0	0	199	0	0	0
assemblage-16-2	0	0	0	0	0	0	0	0	198	0	1	1
assemblage-19-1	0	0	3	0	0	0	0	0	195	1	1	0
assemblage-4-4	1	0	7	0	0	0	2	0	190	0	0	0
