Assemblage_Name	9510769-2-4	3-2-8903096	3-5907921-4	5769777-2-4	9243162-2-4	3-7840406-4	1586433-2-4	8385623-2-4	7816790-2-4	5274339-5907921-4	3-384830-4	3421489-2-4	3-7280750-4	3-5907921-4852640	3-2-4	4330356-2-4
assemblage-15-2	0	2	8	0	1	0	1	0	0	0	0	0	0	0	188	0
assemblage-11-3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	199	0
assemblage-11-2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	199	0
assemblage-12-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200	0
assemblage-28-1	0	4	19	0	0	1	0	0	0	0	0	0	1	0	175	0
assemblage-12-1	0	0	0	0	0	0	0	1	0	0	3	0	0	0	196	0
assemblage-12-2	0	7	12	0	0	0	0	0	0	0	0	0	0	0	181	0
assemblage-2-3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	198	0
assemblage-1-4	0	2	13	0	0	0	0	0	0	1	0	0	0	0	184	0
assemblage-3-2	0	1	37	0	0	0	0	0	0	9	0	0	0	1	152	0
assemblage-21-4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	199	0
assemblage-21-3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	197	2
assemblage-28-3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	199	0
assemblage-25-4	0	2	16	0	0	0	0	0	0	3	0	0	0	0	179	0
assemblage-6-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200	0
assemblage-7-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	199	1
assemblage-20-3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	199	0
assemblage-20-1	0	0	23	0	0	0	0	0	0	8	0	0	0	0	169	0
assemblage-18-4	0	0	0	0	0	0	0	0	0	0	2	0	0	0	198	0
assemblage-16-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200	0
assemblage-19-1	0	3	11	0	0	1	0	0	0	1	0	1	0	0	183	0
assemblage-4-4	0	0	38	0	0	0	0	0	0	3	0	0	0	0	159	0
