Assemblage_Name	3287687-7209679-2	1-3-1415392	1-3-2	1-7055788-2	1-7209679-2
assemblage-15-2	0	0	199	1	0
assemblage-11-3	0	0	200	0	0
assemblage-11-2	0	0	200	0	0
assemblage-12-4	1	0	198	0	1
assemblage-28-1	0	0	200	0	0
assemblage-12-1	0	1	199	0	0
assemblage-12-2	0	0	200	0	0
assemblage-2-3	0	0	196	4	0
assemblage-1-4	0	0	199	1	0
assemblage-3-2	0	0	200	0	0
assemblage-21-4	0	0	200	0	0
assemblage-21-3	0	0	200	0	0
assemblage-28-3	0	0	200	0	0
assemblage-25-4	0	0	200	0	0
assemblage-6-2	0	0	200	0	0
assemblage-7-3	0	0	200	0	0
assemblage-20-3	0	0	200	0	0
assemblage-20-1	0	0	200	0	0
assemblage-18-4	0	0	200	0	0
assemblage-16-2	0	0	200	0	0
assemblage-19-1	0	0	198	0	2
assemblage-4-4	0	0	200	0	0
