Assemblage_Name	632860-0-3	1-3643791-3	1-0-3	7870130-0-3	1964594-0-3	1-7253424-3	1-1491001-3	192799-0-3
assemblage-15-2	0	0	200	0	0	0	0	0
assemblage-11-3	0	0	200	0	0	0	0	0
assemblage-11-2	0	0	200	0	0	0	0	0
assemblage-12-4	0	0	200	0	0	0	0	0
assemblage-28-1	1	0	195	4	0	0	0	0
assemblage-12-1	0	0	200	0	0	0	0	0
assemblage-12-2	0	0	199	1	0	0	0	0
assemblage-2-3	0	0	200	0	0	0	0	0
assemblage-1-4	0	2	197	1	0	0	0	0
assemblage-3-2	0	1	199	0	0	0	0	0
assemblage-21-4	0	0	200	0	0	0	0	0
assemblage-21-3	0	0	200	0	0	0	0	0
assemblage-28-3	0	0	199	0	1	0	0	0
assemblage-25-4	0	0	196	4	0	0	0	0
assemblage-6-2	0	0	200	0	0	0	0	0
assemblage-7-3	0	0	200	0	0	0	0	0
assemblage-20-3	0	0	199	0	0	0	0	1
assemblage-20-1	0	0	200	0	0	0	0	0
assemblage-18-4	0	0	199	0	0	1	0	0
assemblage-16-2	0	0	200	0	0	0	0	0
assemblage-19-1	0	0	199	0	0	0	1	0
assemblage-4-4	0	2	198	0	0	0	0	0
