Assemblage_Name	1613298-1-3	3866316-8414082-8374781	5857700-1-5094690	1-6680052-2	2-1-5117689	1-6760579-2	1-3-9282495	5857700-502996-3	577776-1-3	8462731-3-2	5857700-1502262-3	2-1-3	5857700-2028553-128410	171276-8414082-7975816	1-1-9643939	7748833-4-4	2-1-9314448	7216708-1-7975816	9028056-7469102-4567792	5857700-1-3	7567365-1-3	3866316-1-7975816	1-4-588492	3866316-8414082-7975816	4553632-7469102-2	3866316-8414082-7766893	4798911-2028553-128410	1-1570985-4	7211393-8414082-8672426	3866316-8414082-8672426	8929119-0-2	1-3-2	5857700-1-8768088	1-6824755-2	5952504-3-2	6679100-1-3	1-4-4	3866316-4674747-7975816	1-1-7975816	5857700-1-128410	2-1-1168794	2-1-7819610	5857700-1-7156729	9028056-3-2	1-2050665-9643939	3866316-8543375-7975816	3866316-5459538-7975816	5857700-7600171-3	3-0-2	9954363-0-6630532	1-4832600-2	5857700-1-6960395	5857700-8176341-3	9028056-7469102-2	26907-8414082-7975816
assemblage-421-156	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	15	0	0	33	0	0	0	273	0	34	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	19
assemblage-415-817	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	203	0	10	10	0	0	0	0	64	0	0	0	17	0	0	0	0	130	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	31
assemblage-905-383	0	0	0	0	0	0	0	0	0	0	0	171	0	0	26	0	0	0	0	0	0	99	0	0	0	0	0	0	0	0	0	145	0	0	0	0	15	0	0	0	0	0	0	0	14	0	0	0	20	0	0	0	0	0	10
assemblage-846-749	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	3	0	0	0	0	8	370	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	48	4
assemblage-581-660	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	16	0	0	34	0	0	0	274	0	29	0	0	0	4	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	10
assemblage-566-359	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	35	0	0	0	0	0	0	0	314	17
assemblage-579-646	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	33	0	0	0	0	0	0	0	317	20
assemblage-630-588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	458	0	7	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13
assemblage-183-468	0	0	0	0	0	0	0	0	0	0	0	83	0	0	5	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	124	0	0	5	0	63	0	119	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	20
assemblage-357-740	0	0	0	0	0	0	0	0	0	0	0	78	0	0	0	0	0	0	0	154	0	0	0	75	0	0	0	0	0	0	0	76	0	0	0	0	24	0	0	0	0	0	0	7	0	0	0	0	39	0	0	0	0	15	32
assemblage-554-333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	242	0	0	0	117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123	18
assemblage-399-844	0	0	0	0	0	0	0	0	0	0	0	240	0	0	0	0	0	0	0	0	0	10	0	68	0	0	0	0	0	0	0	114	0	0	0	0	0	0	44	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	11
assemblage-397-360	0	0	0	0	0	0	0	0	0	0	0	180	0	0	23	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	184	0	0	0	0	9	0	0	0	0	0	0	0	10	0	0	0	12	0	0	0	0	0	8
assemblage-795-159	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	214	0	12	12	0	0	0	0	62	0	0	0	14	0	0	0	0	129	0	6	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	15
assemblage-728-395	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	375	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0	2	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	2	21
assemblage-380-667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	207	0	0	0	98	0	0	0	10	0	0	0	0	0	0	0	0	129	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	11
