Assemblage_Name	9246628-1-9950524	1013026-1-5990236	2-9916651-2	4021686-1-5990236	7931861-1-5990236	3492485-4504602-9496889	5645686-4504602-9496889	5476548-1-2	88147-1-5990236	1783693-1-2	2-1-2340702	8946655-1-2	9246628-1-2	2977073-4504602-9496889	3492485-6513121-9496889	2332174-1-5990236	9246628-1-9504569	2-1-247793	9246628-1523665-2	2-1-1550170	3492485-4504602-4966051	3492485-4504602-9069395	2561622-1-2	2-5909991-2	2-665824-2	4-4-9496889	1-1-2655914	2-1-640231	6099974-9916651-2	4-3-9113320	444503-1-6390283	1013026-1-2686690	466407-1-6390283	6099210-3-2	7058111-4504602-9496889	753501-4-9496889	2-4349613-2	2-9916651-9577967	3492485-2399025-9496889	2-1600295-5990236	3492485-4504602-3903795	1-1-6390283	3148074-1-6390283	2-4349613-5869159	2-994381-2	0-3-0	5954475-1-2	9825775-1-2	3492485-4504602-8298826	2-9916651-3433239	5178882-4349613-2	5540663-1-5990236	5844984-1-5990236	7508553-1-6390283	2-8315753-5990236	5083681-1-2	2-1-2	2-1-3	4-9025775-4	9235611-4-9496889	3-4-3	5527302-1-5990236	2-1444959-2	2-1-5990236	2-8366408-2	8116117-1-6390283	6495287-3-0	3492485-9186678-9496889	2-9801755-2	4-3-2	2-1-8432786	3492485-4-9496889	1-3136783-6390283	6864055-1-2	2-1-8643054	2-5134205-2	1174073-1-2
assemblage-644-313	0	0	0	0	0	7	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	86	0	0	0	15	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93	22	0	0	0	0	0	0	0	0	0	0	0	164	0	31	0	0	0	0	26
assemblage-993-593	0	0	0	0	0	0	0	0	0	117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	312	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	13
assemblage-643-323	0	0	290	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	27	0	37	0	0	0	0	0	0	0	0	63	6	0	0	0	0	0	0	4	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	13
assemblage-962-541	0	0	0	0	0	86	0	7	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	189	189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
assemblage-437-684	0	0	0	0	0	13	0	0	0	0	9	6	0	0	0	0	0	0	0	0	0	0	13	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	18	0	0	0	0	0	0	0	300	0	0	0	0	0	0	14	22	0	0	0	0	0	0	0	0	0	0	0	17
assemblage-302-697	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	0	48	0	0	0	0	20	0	340	0	0	0	0	0	0	7	0	0	0	0	0	9
assemblage-541-439	0	0	0	0	56	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	41	154	0	0	0	0	0	0	177	0	0	0	0	0	0	0	0	0	0	0	0	10
assemblage-637-948	0	0	0	0	0	19	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	460	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
assemblage-374-109	0	23	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	49	0	0	0	0	2	0	354	0	0	0	0	0	0	0	0	0	0	0	0	29
assemblage-375-821	0	0	19	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	16
