assemblage	easting	northing
assemblage-920-847	920	847
assemblage-898-874	898	874
assemblage-898-869	898	869
assemblage-916-864	916	864
assemblage-895-883	895	883
assemblage-893-862	893	862
assemblage-909-855	909	855
assemblage-906-852	906	852
assemblage-153-803	153	803
assemblage-123-800	123	800
assemblage-168-801	168	801
assemblage-158-804	158	804
assemblage-145-801	145	801
assemblage-154-804	154	804
assemblage-152-802	152	802
assemblage-164-788	164	788
assemblage-476-510	476	510
assemblage-486-501	486	501
assemblage-500-492	500	492
assemblage-484-504	484	504
assemblage-491-497	491	497
assemblage-473-513	473	513
assemblage-481-514	481	514
assemblage-497-501	497	501
assemblage-895-603	895	603
assemblage-891-577	891	577
assemblage-905-591	905	591
assemblage-897-580	897	580
assemblage-913-562	913	562
assemblage-918-571	918	571
assemblage-912-570	912	570
assemblage-909-570	909	570
assemblage-611-196	611	196
assemblage-597-196	597	196
assemblage-601-205	601	205
assemblage-602-207	602	207
assemblage-628-204	628	204
assemblage-619-223	619	223
assemblage-613-196	613	196
assemblage-640-200	640	200
assemblage-715-796	715	796
assemblage-710-795	710	795
assemblage-688-790	688	790
assemblage-713-782	713	782
assemblage-709-796	709	796
assemblage-722-797	722	797
assemblage-709-784	709	784
assemblage-708-786	708	786
assemblage-983-157	983	157
assemblage-989-154	989	154
assemblage-968-161	968	161
assemblage-979-166	979	166
assemblage-971-160	971	160
assemblage-982-160	982	160
assemblage-996-146	996	146
assemblage-995-168	995	168
assemblage-246-404	246	404
assemblage-262-403	262	403
assemblage-276-404	276	404
assemblage-267-419	267	419
assemblage-269-411	269	411
assemblage-261-408	261	408
assemblage-255-414	255	414
assemblage-255-408	255	408
assemblage-475-348	475	348
assemblage-482-319	482	319
assemblage-494-346	494	346
assemblage-481-361	481	361
assemblage-496-330	496	330
assemblage-491-351	491	351
assemblage-507-342	507	342
assemblage-496-351	496	351
assemblage-948-937	948	937
assemblage-940-955	940	955
assemblage-953-953	953	953
assemblage-934-958	934	958
assemblage-957-951	957	951
assemblage-955-932	955	932
assemblage-962-960	962	960
assemblage-953-967	953	967
assemblage-480-509	480	509
assemblage-481-520	481	520
assemblage-481-510	481	510
assemblage-481-503	481	503
assemblage-477-490	477	490
assemblage-486-523	486	523
assemblage-465-493	465	493
assemblage-472-509	472	509
assemblage-975-843	975	843
assemblage-970-841	970	841
assemblage-959-844	959	844
assemblage-984-844	984	844
assemblage-968-867	968	867
assemblage-983-854	983	854
assemblage-973-856	973	856
assemblage-988-869	988	869
assemblage-360-495	360	495
assemblage-371-515	371	515
assemblage-364-510	364	510
assemblage-357-491	357	491
assemblage-346-506	346	506
assemblage-360-511	360	511
assemblage-362-519	362	519
assemblage-363-501	363	501
assemblage-789-134	789	134
assemblage-784-114	784	114
assemblage-782-144	782	144
assemblage-788-124	788	124
assemblage-772-121	772	121
assemblage-793-122	793	122
assemblage-791-131	791	131
assemblage-788-130	788	130
assemblage-685-371	685	371
assemblage-710-359	710	359
assemblage-685-353	685	353
assemblage-705-361	705	361
assemblage-695-371	695	371
assemblage-688-386	688	386
assemblage-700-370	700	370
assemblage-685-361	685	361
assemblage-959-890	959	890
assemblage-984-897	984	897
assemblage-971-894	971	894
assemblage-981-906	981	906
assemblage-962-919	962	919
assemblage-963-913	963	913
assemblage-973-890	973	890
assemblage-961-912	961	912
assemblage-175-734	175	734
assemblage-159-732	159	732
assemblage-169-727	169	727
assemblage-173-741	173	741
assemblage-151-733	151	733
assemblage-176-723	176	723
assemblage-178-748	178	748
assemblage-189-727	189	727
assemblage-604-776	604	776
assemblage-601-777	601	777
assemblage-608-784	608	784
assemblage-612-790	612	790
assemblage-617-770	617	770
assemblage-609-772	609	772
assemblage-628-778	628	778
assemblage-631-783	631	783
assemblage-1022-687	1022	687
assemblage-1000-672	1000	672
assemblage-1007-690	1007	690
assemblage-996-670	996	670
assemblage-1014-702	1014	702
assemblage-998-674	998	674
assemblage-1011-672	1011	672
assemblage-1015-682	1015	682
assemblage-457-531	457	531
assemblage-477-540	477	540
assemblage-480-533	480	533
assemblage-481-517	481	517
assemblage-477-531	477	531
assemblage-457-525	457	525
assemblage-483-530	483	530
assemblage-492-530	492	530
assemblage-592-142	592	142
assemblage-606-145	606	145
assemblage-595-143	595	143
assemblage-605-143	605	143
assemblage-599-132	599	132
assemblage-580-132	580	132
assemblage-607-161	607	161
assemblage-604-139	604	139
assemblage-853-261	853	261
assemblage-872-265	872	265
assemblage-853-282	853	282
assemblage-853-273	853	273
assemblage-843-271	843	271
assemblage-870-284	870	284
assemblage-865-272	865	272
assemblage-861-255	861	255
assemblage-114-130	114	130
assemblage-120-123	120	123
assemblage-109-93	109	93
assemblage-85-91	85	91
assemblage-107-99	107	99
assemblage-99-118	99	118
assemblage-95-114	95	114
assemblage-105-114	105	114
assemblage-567-920	567	920
assemblage-567-918	567	918
assemblage-570-928	570	928
assemblage-589-914	589	914
assemblage-599-936	599	936
assemblage-566-940	566	940
assemblage-582-927	582	927
assemblage-580-918	580	918
