Assemblage_Name	4-1-311458	4-1-0	8908274-5202785-0	8908274-1-0	4-1-4697700	4-5037707-0	4-579201-0	4-3934090-0	4-6423851-0	4-1146862-0
assemblage-15-2	0	199	0	0	0	0	0	1	0	0
assemblage-11-3	0	187	0	6	0	0	0	0	1	6
assemblage-11-2	0	184	0	8	0	0	0	0	4	4
assemblage-12-4	0	185	0	11	0	0	0	0	4	0
assemblage-28-1	0	199	0	0	0	0	1	0	0	0
assemblage-12-1	0	200	0	0	0	0	0	0	0	0
assemblage-12-2	0	200	0	0	0	0	0	0	0	0
assemblage-2-3	0	184	0	14	0	0	0	0	2	0
assemblage-1-4	0	190	0	9	0	0	0	0	0	1
assemblage-3-2	0	200	0	0	0	0	0	0	0	0
assemblage-21-4	0	200	0	0	0	0	0	0	0	0
assemblage-21-3	0	186	0	4	0	0	0	0	7	3
assemblage-28-3	0	198	0	0	0	0	0	0	0	2
assemblage-25-4	0	200	0	0	0	0	0	0	0	0
assemblage-6-2	0	199	0	0	0	0	0	0	0	1
assemblage-7-3	1	188	0	3	0	0	0	0	5	3
assemblage-20-3	0	199	0	0	0	0	0	0	0	1
assemblage-20-1	0	200	0	0	0	0	0	0	0	0
assemblage-18-4	0	189	0	3	0	1	0	0	2	5
assemblage-16-2	0	194	1	1	1	0	0	3	0	0
assemblage-19-1	0	193	0	5	0	0	0	1	1	0
assemblage-4-4	0	200	0	0	0	0	0	0	0	0
