Assemblage_Name	4-3018745-2	3794494-0-2	4-6901700-2	4-0-3606683	4-7026516-2	4-0-3900548	4-0-2
assemblage-15-2	2	0	0	0	0	0	198
assemblage-11-3	0	0	0	1	0	0	199
assemblage-11-2	0	0	0	0	0	0	200
assemblage-12-4	0	0	0	0	0	0	200
assemblage-28-1	0	0	0	0	1	0	199
assemblage-12-1	0	0	0	0	0	0	200
assemblage-12-2	0	1	0	0	1	0	198
assemblage-2-3	1	0	0	0	0	0	199
assemblage-1-4	0	0	0	0	0	0	200
assemblage-3-2	0	0	0	0	0	0	200
assemblage-21-4	0	0	2	0	0	0	198
assemblage-21-3	0	0	0	0	0	0	200
assemblage-28-3	0	0	4	0	0	0	196
assemblage-25-4	0	0	0	0	0	0	200
assemblage-6-2	0	0	0	0	0	0	200
assemblage-7-3	0	0	0	0	0	0	200
assemblage-20-3	0	0	1	0	0	0	199
assemblage-20-1	0	2	0	0	0	0	198
assemblage-18-4	0	0	1	0	0	1	198
assemblage-16-2	5	0	0	0	0	0	195
assemblage-19-1	1	0	0	0	0	0	199
assemblage-4-4	0	0	0	0	0	0	200
