Assemblage_Name	2-6796877-1	2-0-1	3627784-0-1	2-9932093-1	6001707-0-1	5461673-0-1	2-0-3937639	2-4841372-1	2-0-5745640	3-0-9085931	2-1392470-1	2-0-2219507	8397700-0-1	2-0-1123495	2-0-4566521	5404576-0-2219507	6585170-0-1	2-4642394-2219507	2-4361459-1
assemblage-15-2	0	152	0	0	0	1	1	0	0	10	0	36	0	0	0	0	0	0	0
assemblage-11-3	0	177	0	0	0	9	0	0	0	0	0	14	0	0	0	0	0	0	0
assemblage-11-2	0	191	0	0	0	4	0	0	0	0	0	5	0	0	0	0	0	0	0
assemblage-12-4	0	137	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0
assemblage-28-1	0	157	0	0	0	0	7	0	0	29	0	7	0	0	0	0	0	0	0
assemblage-12-1	0	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-12-2	0	159	0	0	1	0	6	0	0	27	0	7	0	0	0	0	0	0	0
assemblage-2-3	0	150	0	1	0	1	0	0	0	0	0	47	0	0	0	0	1	0	0
assemblage-1-4	0	154	0	0	0	1	0	0	0	22	0	22	1	0	0	0	0	0	0
assemblage-3-2	3	111	0	0	0	0	15	0	0	68	0	0	3	0	0	0	0	0	0
assemblage-21-4	0	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-21-3	0	172	0	0	0	15	0	0	1	0	0	11	0	0	0	0	0	1	0
assemblage-28-3	0	199	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-25-4	0	115	0	0	0	0	24	0	0	54	0	7	0	0	0	0	0	0	0
assemblage-6-2	0	198	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
assemblage-7-3	0	178	0	0	0	9	0	0	0	0	0	11	0	0	0	1	0	1	0
assemblage-20-3	0	199	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
assemblage-20-1	1	89	0	0	0	0	29	0	0	81	0	0	0	0	0	0	0	0	0
assemblage-18-4	0	183	0	0	0	6	0	0	0	0	0	10	0	0	1	0	0	0	0
assemblage-16-2	0	142	0	0	0	3	0	0	0	0	0	54	0	0	0	0	0	0	1
assemblage-19-1	1	139	0	0	0	3	8	0	0	19	0	29	1	0	0	0	0	0	0
assemblage-4-4	4	119	0	0	0	0	5	0	0	60	0	0	12	0	0	0	0	0	0
