Assemblage_Name	0-0-4	0-9856608-4	0-4595871-4	6920549-0-4	1440189-0-4	2018858-0-4	9029845-0-4	891414-0-4
assemblage-15-2	199	0	0	0	0	1	0	0
assemblage-11-3	200	0	0	0	0	0	0	0
assemblage-11-2	200	0	0	0	0	0	0	0
assemblage-12-4	200	0	0	0	0	0	0	0
assemblage-28-1	199	0	1	0	0	0	0	0
assemblage-12-1	198	0	0	2	0	0	0	0
assemblage-12-2	200	0	0	0	0	0	0	0
assemblage-2-3	200	0	0	0	0	0	0	0
assemblage-1-4	197	1	0	0	1	0	1	0
assemblage-3-2	198	0	0	0	2	0	0	0
assemblage-21-4	200	0	0	0	0	0	0	0
assemblage-21-3	200	0	0	0	0	0	0	0
assemblage-28-3	200	0	0	0	0	0	0	0
assemblage-25-4	199	0	0	0	1	0	0	0
assemblage-6-2	198	0	0	1	0	0	0	1
assemblage-7-3	200	0	0	0	0	0	0	0
assemblage-20-3	199	0	0	1	0	0	0	0
assemblage-20-1	199	0	0	0	1	0	0	0
assemblage-18-4	198	0	0	1	0	0	0	1
assemblage-16-2	200	0	0	0	0	0	0	0
assemblage-19-1	199	0	0	0	1	0	0	0
assemblage-4-4	199	0	0	0	1	0	0	0
