Assemblage_Name	3-3-6499414	1-1-4	0-8979257-51755	0-9199983-7948638	2877316-3-6778825	0-8438668-7948638	3-3-4	0-3-5545170	2-1190081-4597143	0-1-3	3-3-571571	1-1-7303685	0-4108200-7948638	0-1727504-7948638	1-9804472-4	2-5982450-4139302	2-5982450-4689096	2682058-7351496-6778825	3-2781075-4	4632024-3-4	5615473-1-2	3735482-3-4	6922544-7351496-6778825	3-3-7227717	435442-1-4	0-9199983-7462435	1-3-0	2631051-9698154-2	6922544-7351496-3334845	0-6295838-4	2-5573919-2	3-3-3066255	0-3-51755	6922544-2768874-6778825	5064582-1-2	0-3-4	0-3-6778825	2005861-1-2	6294144-3-4	2-1843540-2	0-397275-8806163	0-3-7948638	1-4-1	0-3-6240148	2-1-2	1529192-9199983-7948638	6922544-3-6778825	2-1-773611	1-1-9286512	0-397275-7948638	0-7434139-7948638	1-1-8999420	6884530-1-7303685	2631051-1-2	2-5982450-2	2-1-4597143	2-369943-2
assemblage-663-968	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	269	0	0	0	0	0	0	0	0	0	0	0	0	0	153	0	0	0	0	0	0	0	10	0	32	0	0	0	0	0	0	0	21	0	15
assemblage-832-789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	197	52	0	0	0	0	0	12
assemblage-549-432	0	0	0	181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	61	120	0	0	0	10	0	0	26	32	0	0	0	0	0	0	0	29	9	10	6
assemblage-637-948	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	260	0	0	0	0	0	0	0	0	0	0	0	0	0	163	0	0	0	0	0	0	0	11	0	32	0	0	0	0	0	0	0	23	0	11
assemblage-653-972	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	207	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	236	0	5
assemblage-750-626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0	0	0	0	0	0	0	403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18
assemblage-834-809	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	183	36	0	0	0	0	0	15
assemblage-639-332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	475	0	0	0	0	0	0	0	0	0	0	0	13
assemblage-749-590	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19
assemblage-788-907	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	143	0	0	0	0	0	0	0	0	262	0	0	19
